Year	Month	Monthly_MSL
1862	5	7.005
1862	6	7.064
1862	7	7.035
1862	8	6.972
1862	9	6.87
1862	10	7.085
1862	11	6.936
1862	12	7.046
1863	1	7.064
1863	2	6.997
1863	3	6.964
1863	4	7
1863	5	6.941
1863	6	6.987
1863	7	6.907
1863	8	6.975
1863	9	7.034
1863	10	7.012
1863	11	6.985
1863	12	7.04
1864	1	6.973
1864	2	7.006
1864	3	6.992
1864	4	6.891
1864	5	6.908
1864	6	6.96
1864	7	6.931
1864	8	6.905
1864	9	7.01
1864	10	6.924
1864	11	7.015
1864	12	6.994
1865	1	7.092
1865	2	6.96
1865	3	6.882
1865	4	6.9
1865	5	7.02
1865	6	6.862
1865	7	6.952
1865	8	6.932
1865	9	6.906
1865	10	6.994
1865	11	7.043
1865	12	7.067
1866	1	7.11
1866	2	7.07
1866	3	6.989
1866	4	6.973
1866	5	6.956
1866	6	6.966
1866	7	6.967
1866	8	7.018
1866	9	7.074
1866	10	6.86
1866	11	7.018
1866	12	7.061
1867	1	6.976
1867	2	7.094
1867	3	6.961
1867	4	7.052
1867	5	6.938
1867	6	6.926
1867	7	6.976
1867	8	6.969
1867	9	6.979
1867	10	6.96
1867	11	6.972
1867	12	6.96
1868	1	7.009
1868	2	7.097
1868	3	6.998
1868	4	6.945
1868	5	7.011
1868	6	6.957
1868	7	6.906
1868	8	6.975
1868	9	6.925
1868	10	6.966
1868	11	6.928
1868	12	7.183
1869	1	6.997
1869	2	7.134
1869	3	6.842
1869	4	6.939
1869	5	6.944
1869	6	6.896
1869	7	6.946
1869	8	6.89
1869	9	7.071
1869	10	6.948
1869	11	7.009
1869	12	6.936
1870	1	6.93
1870	2	6.936
1870	3	6.931
1870	4	6.967
1870	5	6.969
1870	6	6.905
1870	7	6.931
1870	8	6.887
1870	9	6.928
1870	10	7.021
1870	11	6.948
1870	12	6.988
1871	1	6.869
1871	2	6.972
1871	3	7.007
1871	4	6.958
1871	5	6.932
1871	6	6.905
1871	7	7.016
1871	8	6.963
1871	9	6.928
1871	10	6.994
1871	11	6.918
1871	12	6.951
1872	1	7.077
1872	2	7.021
1872	3	7.037
1872	4	7
1872	5	6.993
1872	6	6.96
1872	7	6.958
1872	8	6.938
1872	9	7.016
1872	10	6.994
1872	11	7.07
1872	12	7.015
1873	1	7.15
1873	2	6.859
1873	3	6.867
1873	4	6.872
1873	5	6.941
1873	6	6.975
1873	7	7.062
1873	8	6.981
1873	9	6.955
1873	10	6.988
1873	11	6.979
1873	12	7.058
1874	1	7.061
1874	2	6.954
1874	3	6.961
1874	4	6.967
1874	5	6.862
1874	6	6.911
1874	7	6.961
1874	8	6.981
1874	9	7.025
1874	10	7.058
1874	11	6.973
1874	12	6.933
1875	1	7.015
1875	2	6.847
1875	3	6.891
1875	4	6.933
1875	5	6.929
1875	6	6.92
1875	7	6.91
1875	8	6.92
1875	9	6.934
1875	10	6.954
1875	11	6.936
1875	12	6.945
1876	1	6.866
1876	2	6.984
1876	3	7.126
1876	4	6.973
1876	5	6.877
1876	6	6.978
1876	7	6.989
1876	8	6.972
1876	9	6.955
1876	10	6.994
1876	11	7
1876	12	7.107
1877	1	7.092
1877	2	7.018
1877	3	6.964
1877	4	6.967
1877	5	7.008
1877	6	7.045
1877	7	7.047
1877	8	7.06
1877	9	6.916
1877	10	6.985
1877	11	7.125
1877	12	6.954
1878	1	6.885
1878	2	6.948
1878	3	6.952
1878	4	6.955
1878	5	7.075
1878	6	7.009
1878	7	6.949
1878	8	6.978
1878	9	7.025
1878	10	7.018
1878	11	6.878
1878	12	6.866
1879	1	6.9
1879	2	6.96
1879	3	6.934
1879	4	7.022
1879	5	6.929
1879	6	7.054
1879	7	7.022
1879	8	7.015
1879	9	6.977
1879	10	6.884
1879	11	6.851
1879	12	6.936
1880	1	6.881
1880	2	7.064
1880	3	6.909
1880	4	6.979
1880	5	6.914
1880	6	6.945
1880	7	6.952
1880	8	6.92
1880	9	6.958
1880	10	6.884
1880	11	7.009
1880	12	6.985
1881	1	6.872
1881	2	6.829
1881	3	6.976
1881	4	6.942
1881	5	6.944
1881	6	7.125
1881	7	7.004
1881	8	7.051
1881	9	6.937
1881	10	6.96
1881	11	7.11
1881	12	6.979
1882	1	6.93
1882	2	6.984
1882	3	7.071
1882	4	6.942
1882	5	6.969
1882	6	6.978
1882	7	7.022
1882	8	6.948
1882	9	6.931
1882	10	6.951
1882	11	6.991
1882	12	6.942
1883	1	6.991
1883	2	7.003
1883	3	6.894
1883	4	6.936
1883	5	6.981
1883	6	6.923
1883	7	6.986
1883	8	6.957
1883	9	6.955
1883	10	6.957
1883	11	7.015
1883	12	6.899
1884	1	7.003
1884	2	6.987
1884	3	6.967
1884	4	6.945
1884	5	6.975
1884	6	6.905
1884	7	6.928
1884	8	6.948
1884	9	6.931
1884	10	6.914
1884	11	6.86
1884	12	6.967
1885	1	6.878
1885	2	7.076
1885	3	6.873
1885	4	6.936
1885	5	7.03
1885	6	6.926
1885	7	6.882
1885	8	6.896
1885	9	6.992
1885	10	6.911
1885	11	6.909
1885	12	6.921
1886	1	6.9
1886	2	6.789
1886	3	6.943
1886	4	6.912
1886	5	6.929
1886	6	6.948
1886	7	6.977
1886	8	6.945
1886	9	6.961
1886	10	6.93
1886	11	6.939
1886	12	6.933
1887	1	6.949
1887	2	6.905
1887	3	6.928
1887	4	6.912
1887	5	6.929
1887	6	6.902
1887	7	6.995
1887	8	6.966
1887	9	6.937
1887	10	6.881
1887	11	6.909
1887	12	6.921
1888	1	6.869
1888	2	6.747
1888	3	6.888
1888	4	6.911
1888	5	6.938
1888	6	6.884
1888	7	6.961
1888	8	6.951
1888	9	6.836
1888	10	6.869
1888	11	6.991
1888	12	6.982
1889	1	6.869
1889	2	6.85
1889	3	6.943
1889	4	7.003
1889	5	6.947
1889	6	6.908
1889	7	6.907
1889	8	6.993
1889	9	6.903
1889	10	6.893
1889	11	6.881
1889	12	6.878
1890	1	7.101
1890	2	6.798
1890	3	7.037
1890	4	6.985
1890	5	6.981
1890	6	6.972
1890	7	6.983
1890	8	6.938
1890	9	6.931
1890	10	6.948
1890	11	6.921
1890	12	6.823
1891	1	6.881
1891	2	6.832
1891	3	6.992
1891	4	6.872
1891	5	6.938
1891	6	6.878
1891	7	6.943
1891	8	6.99
1891	9	7.028
1891	10	7.021
1891	11	6.942
1891	12	7.003
1892	1	6.942
1892	2	6.881
1892	3	6.906
1892	4	6.906
1892	5	6.969
1892	6	6.942
1892	7	6.91
1892	8	6.954
1892	9	6.952
1892	10	6.924
1892	11	6.915
1892	12	6.875
1893	1	6.866
1893	2	7.024
1893	3	6.986
1893	4	6.875
1893	5	6.947
1893	6	6.929
1893	7	6.928
1893	8	6.951
1893	9	6.998
1893	10	6.975
1893	11	6.887
1893	12	6.948
1894	1	6.994
1894	2	6.987
1894	3	6.973
1894	4	6.958
1894	5	6.926
1894	6	6.933
1894	7	6.971
1894	8	6.948
1894	9	6.836
1894	10	6.872
1894	11	7.024
1894	12	6.988
1895	1	6.784
1895	2	6.823
1895	3	6.982
1895	4	6.97
1895	5	6.868
1895	6	6.884
1895	7	6.971
1895	8	6.972
1895	9	6.925
1895	10	6.927
1895	11	6.945
1895	12	6.948
1896	1	6.863
1896	2	6.869
1896	3	6.982
1896	4	6.915
1896	5	6.844
1896	6	6.929
1896	7	6.922
1896	8	6.871
1896	9	6.989
1896	10	6.86
1896	11	6.838
1896	12	6.939
1897	1	6.83
1897	2	6.923
1897	3	6.979
1897	4	6.927
1897	5	6.969
1897	6	6.923
1897	7	6.94
1897	8	6.987
