Year	E	T
1944	1.07	27.40
1945	0.74	27.31
1946	0.24	27.26
1947	1.40	26.72
1948	1.26	26.98
1949	0.84	27.12
1950	2.65	27.19
1951	1.33	27.37
1952	0.80	27.63
1953	1.04	27.37
1954	1.06	27.07
1955	2.15	27.34
1956	0.49	26.96
1957	0.91	27.43
1958	1.21	27.48
1959	0.71	26.98
1960	1.18	27.15
1961	2.34	27.16
1962	0.29	27.26
1963	1.11	27.22
1964	1.79	26.88
1965	0.83	27.09
1966	1.38	27.31
1967	1.10	27.07
1968	0.33	27.04
1969	1.47	27.52
1970	0.40	27.15
1971	0.98	26.90
1972	0.34	26.81
1973	0.47	27.07
1974	0.77	26.74
1975	0.82	26.93
1976	0.90	27.24
1977	0.31	26.99
1978	0.68	26.89
1979	1.21	27.36
1980	1.95	27.46
1981	1.02	27.25
1982	0.35	26.93
1983	0.15	27.01
1984	0.78	26.95
1985	0.98	27.03
1986	0.39	27.20
1987	0.30	27.50
1988	1.37	27.29
1989	1.68	27.21
1990	0.91	27.59
1991	0.40	26.89
1992	0.92	27.05
1993	0.41	27.08
1994	0.28	27.04
1995	2.63	27.58
1996	2.09	27.38
1997	0.45	27.43
1998	2.32	27.74
1999	2.22	27.61
2000	1.31	27.25
2001	1.23	27.66
2002	0.67	27.27
2003	2.36	27.87
2004	3.09	27.80
