Year	Month	Monthly_MSL
1915	7	6.969
1915	8	6.955
1915	9	6.969
1915	10	6.923
1915	11	6.965
1915	12	7.12
1916	1	6.915
1916	2	6.959
1916	3	7.11
1916	4	6.919
1916	5	7.007
1916	6	6.96
1916	7	6.885
1916	8	6.999
1916	9	6.908
1916	10	6.979
1916	11	7.019
1916	12	7.024
1917	1	6.944
1917	2	6.918
1917	3	6.979
1917	4	6.895
1917	5	6.99
1917	6	6.966
1917	7	6.98
1917	8	7.015
1917	9	6.896
1917	10	6.92
1917	11	6.787
1917	12	6.776
1918	1	7.003
1918	2	7.041
1918	3	6.918
1918	4	6.954
1918	5	6.903
1918	6	6.878
1918	7	6.976
1918	8	6.919
1918	9	7.013
1918	10	6.858
1918	11	6.921
1918	12	6.95
1919	1	6.984
1919	2	7.105
1919	3	6.967
1919	4	6.883
1919	5	6.938
1919	6	6.89
1919	7	6.918
1919	8	6.957
1919	9	6.97
1919	10	6.842
1919	11	6.958
1919	12	6.914
1920	1	6.941
1920	2	6.909
1920	3	6.931
1920	4	7.056
1920	5	6.936
1920	6	6.975
1920	7	6.968
1920	8	6.899
1920	9	6.91
1920	10	7.046
1920	11	6.956
1920	12	6.972
1921	1	6.956
1921	2	6.894
1921	3	6.907
1921	4	6.883
1921	5	6.929
1921	6	6.902
1921	7	6.961
1921	8	6.947
1921	9	6.912
1921	10	6.863
1921	11	6.975
1921	12	6.862
1922	1	6.966
1922	2	7.006
1922	3	6.987
1922	4	7.011
1922	5	6.888
1922	6	6.926
1922	7	6.94
1922	8	6.919
1922	9	6.93
1922	10	6.966
1922	11	6.849
1922	12	6.952
1923	1	6.762
1923	2	7.088
1923	3	7.011
1923	4	7.063
1923	5	6.913
1923	6	6.834
1923	7	6.937
1923	8	6.931
1923	9	6.889
1923	10	6.983
1923	11	6.897
1923	12	6.832
1924	1	6.997
1924	2	6.915
1924	3	7.07
1924	4	6.952
1924	5	7.007
1924	6	6.941
1924	7	6.991
1924	8	6.961
1924	9	7.002
1924	10	6.991
1924	11	6.962
1924	12	7.012
1925	1	6.962
1925	2	7.049
1925	3	6.819
1925	4	6.981
1925	5	7.036
1925	6	6.923
1925	7	6.931
1925	8	6.983
1925	9	6.943
1925	10	6.993
1925	11	6.982
1925	12	7.096
1926	1	7.057
1926	2	7.099
1926	3	6.906
1926	4	7.028
1926	5	7.012
1926	6	7.002
1926	7	6.98
1926	8	6.978
1926	9	6.943
1926	10	7.006
1926	11	7.115
1926	12	6.79
1927	1	6.94
1927	2	6.962
1927	3	7.05
1927	4	6.929
1927	5	6.972
1927	6	7
1927	7	7.047
1927	8	7.042
1927	9	7.001
1927	10	6.957
1927	11	6.979
1927	12	7.092
1928	1	6.932
1928	2	6.919
1928	3	7.108
1928	4	7.113
1928	5	6.999
1928	6	7.061
1928	7	6.947
1928	8	7.018
1928	9	6.961
1928	10	7.007
1928	11	6.962
1928	12	6.902
1929	1	6.909
1929	2	6.991
1929	3	6.907
1929	4	6.964
1929	5	6.982
1929	6	6.975
1929	7	6.996
1929	8	6.949
1929	9	6.956
1929	10	6.996
1929	11	7.017
1929	12	7.08
1930	1	7.093
1930	2	6.955
1930	3	7.06
1930	4	7.038
1930	5	6.96
1930	6	6.988
1930	7	7.022
1930	8	7.01
1930	9	6.971
1930	10	7.011
1930	11	7.021
1930	12	6.98
1931	1	6.945
1931	2	6.878
1931	3	7.071
1931	4	6.985
1931	5	7.069
1931	6	7.013
1931	7	7.054
1931	8	7.044
1931	9	6.933
1931	10	6.936
1931	11	7.079
1931	12	6.846
1932	1	6.99
1932	2	6.868
1932	3	7.015
1932	4	7.021
1932	5	7.017
1932	6	7.008
1932	7	7.024
1932	8	7.001
1932	9	7.035
1932	10	7.013
1932	11	6.948
1932	12	7.05
1933	1	6.964
1933	2	6.967
1933	3	7.055
1933	4	6.978
1933	5	6.999
1933	6	7.034
1933	7	6.953
1933	8	6.98
1933	9	7.029
1933	10	7.01
1933	11	6.966
1933	12	6.912
1934	1	6.899
1934	2	6.762
1934	3	6.985
1934	4	7.057
1934	5	6.923
1934	6	6.946
1934	7	6.979
1934	8	6.98
1934	9	7.003
1934	10	6.897
1934	11	6.92
1934	12	7.174
1935	1	6.785
1935	2	6.961
1935	3	6.892
1935	4	7.016
1935	5	6.939
1935	6	7.059
1935	7	6.943
1935	8	6.969
1935	9	7.027
1935	10	6.953
1935	11	7.065
1935	12	7.05
1936	1	7.216
1936	2	7.215
1936	3	7.112
1936	4	7.061
1936	5	6.992
1936	6	7.022
1936	7	7.048
1936	8	6.91
1936	9	6.969
1936	10	6.911
1936	11	6.926
1936	12	6.938
1937	1	7.144
1937	2	7.113
1937	3	7.136
1937	4	7.063
1937	5	7
1937	6	6.966
1937	7	6.994
1937	8	6.963
1937	9	7.027
1937	10	6.992
1937	11	7.073
1937	12	6.996
1938	1	6.951
1938	2	6.874
1938	3	6.919
1938	4	6.879
1938	5	6.98
1938	6	6.959
1938	7	6.971
1938	8	6.97
1938	9	6.972
1938	10	6.944
1938	11	7.049
1938	12	7.006
1939	1	7.087
1939	2	6.965
1939	3	6.919
1939	4	7.017
1939	5	6.948
1939	6	7
1939	7	7.067
1939	8	6.98
1939	9	7
1939	10	7.025
1939	11	6.999
1939	12	6.968
1940	1	7.027
1940	2	7.099
1940	3	7.052
1940	4	7.006
1940	5	7.008
1940	6	6.984
1940	7	7.017
1940	8	6.92
1940	9	6.959
1940	10	7.045
1940	11	7.026
1940	12	6.844
1941	1	7.042
1941	2	7.093
1941	3	7.021
1941	4	7.009
1941	5	6.979
1941	6	7.003
1941	7	7.029
1941	8	7.022
1941	9	6.941
1941	10	6.909
1941	11	7.029
1941	12	6.844
1942	1	6.865
1942	2	6.877
1942	3	7.047
1942	4	7.05
1942	5	7.05
1942	6	6.961
1942	7	6.974
1942	8	7.011
1942	9	7.021
1942	10	7.007
1942	11	7.002
1942	12	7.072
1943	1	7.123
1943	2	6.857
1943	3	6.959
1943	4	6.945
1943	5	6.949
1943	6	6.952
1943	7	7.005
1943	8	7.028
1943	9	6.979
1943	10	7.046
1943	11	6.905
1943	12	6.896
1944	1	6.894
1944	2	6.879
1944	3	6.883
1944	4	6.972
1944	5	6.909
1944	6	6.997
1944	7	7.047
1944	8	7.022
1944	9	6.962
1944	10	6.956
1944	11	6.988
1944	12	6.946
1945	1	6.917
1945	2	6.907
1945	3	6.87
1945	4	7.023
1945	5	7.05
1945	6	7.006
1945	7	7.003
1945	8	7.005
1945	9	6.981
1945	10	7.026
1945	11	7.066
1945	12	7.154
1946	1	7.039
1946	2	6.927
1946	3	7.058
1946	4	6.983
1946	5	7.106
1946	6	7.046
1946	7	6.987
1946	8	7.032
1946	9	7.04
1946	10	7.053
1946	11	7.068
1946	12	6.938
1947	1	7.024
1947	2	7.128
1947	3	7.238
1947	4	7.006
1947	5	7.028
1947	6	7.065
1947	7	7.026
1947	8	7.016
1947	9	7.004
1947	10	6.932
1947	11	7.012
1947	12	6.938
1948	1	7.148
1948	2	6.974
1948	3	6.954
1948	4	7.006
1948	5	7.024
1948	6	7.013
1948	7	7.01
1948	8	7.048
1948	9	6.971
1948	10	6.995
1948	11	6.992
1948	12	7.138
1949	1	6.897
1949	2	6.927
1949	3	6.905
1949	4	6.995
1949	5	6.99
1949	6	6.986
1949	7	7.006
1949	8	7.005
1949	9	7.089
1949	10	7.092
1949	11	7.063
1949	12	7.012
1950	1	6.99
1950	2	7.151
1950	3	6.997
1950	4	6.99
1950	5	7.025
1950	6	7.044
1950	7	7.052
1950	8	7.054
1950	9	7.031
1950	10	6.984
1950	11	7.079
1950	12	7.022
1951	1	7.088
1951	2	7.135
1951	3	7.088
1951	4	7.003
1951	5	7.068
1951	6	7.043
1951	7	7
1951	8	7.048
1951	9	7.061
1951	10	6.986
1951	11	7.159
1951	12	7.046
1952	1	6.971
1952	2	6.931
1952	3	7.122
1952	4	7.019
1952	5	7.075
1952	6	7.031
1952	7	6.983
1952	8	7.065
1952	9	7.012
1952	10	7.058
1952	11	6.999
1952	12	7.016
1953	1	6.918
1953	2	6.926
1953	3	6.893
1953	4	7.083
1953	5	7.01
1953	6	7.058
1953	7	7.027
1953	8	7.006
1953	9	7.028
1953	10	6.994
1953	11	6.958
1953	12	7.064
1954	1	6.905
1954	2	7.01
1954	3	7.128
1954	4	6.895
1954	5	6.989
1954	6	7.035
1954	7	6.996
1954	8	7.033
1954	9	7.02
1954	10	7.075
1954	11	7.081
1954	12	6.974
1955	1	7.157
1955	2	7.127
1955	3	7.007
1955	4	6.968
1955	5	7.013
1955	6	7.071
1955	7	7.026
1955	8	7.025
1955	9	7.014
1955	10	6.993
1955	11	7.054
1955	12	7.106
1956	1	7.022
1956	2	6.855
1956	3	7.046
1956	4	6.961
1956	5	6.887
1956	6	6.919
1956	7	7.023
1956	8	7.034
1956	9	7.06
1956	10	6.929
1956	11	6.88
1956	12	6.996
1957	1	6.951
1957	2	7.16
1957	3	7.116
1957	4	6.935
1957	5	6.993
1957	6	7.015
1957	7	7.025
1957	8	7.012
1957	9	7.015
1957	10	6.969
1957	11	6.974
1957	12	7.042
1958	1	7.036
1958	2	7.083
1958	3	7.102
1958	4	6.979
1958	5	7.011
1958	6	7.056
1958	7	7.071
1958	8	7.085
1958	9	7.093
1958	10	6.975
1958	11	6.912
1958	12	7.168
1959	1	7.088
1959	2	6.902
1959	3	7.128
1959	4	7.093
1959	5	7.003
1959	6	7.009
1959	7	7.022
1959	8	6.982
1959	9	7.028
1959	10	7.029
1959	11	7.045
1959	12	7.15
1960	1	7.026
1960	2	7.161
1960	3	7.169
1960	4	7.006
1960	5	7.055
1960	6	7.042
1960	7	7.068
1960	8	7.124
1960	9	7.059
1960	10	7.215
1960	11	7.192
1960	12	7.022
1961	1	7.047
1961	2	7.02
1961	3	6.946
1961	4	7.158
1961	5	7.073
1961	6	7.038
1961	7	7.031
1961	8	6.985
1961	9	7.074
1961	10	7.1
1961	11	7.033
1961	12	7.168
1962	1	7.073
1962	2	6.872
1962	3	7.084
1962	4	6.998
1962	5	6.994
1962	6	6.965
1962	7	7.043
1962	8	7.025
1962	9	7.062
1962	10	6.987
1962	11	7.009
1962	12	6.98
1963	1	7.033
1963	2	7.138
1963	3	7.075
1963	4	7.072
1963	5	6.933
1963	6	7.072
1963	7	7.029
1963	8	7.038
1963	9	6.977
1963	10	6.987
1963	11	7.253
1963	12	7.102
1964	1	6.993
1964	2	7.086
1964	3	7.105
1964	4	7.045
1964	5	7.046
1964	6	7.072
1964	7	6.995
1964	8	7.011
1964	9	7.047
1964	10	6.996
1964	11	6.951
1964	12	6.976
1965	1	7.015
1965	2	6.9
1965	3	7.044
1965	4	6.963
1965	5	7.022
1965	6	7.029
1965	7	7.044
1965	8	7.002
1965	9	7.065
1965	10	7.075
1965	11	7.128
1965	12	7.074
1966	1	7.146
1966	2	7.321
